layer: 1 ,  σₐ: 6.34447, σᵦ: 0.33725, ℍᶩᐨᑊ: 0.100, ℍᶩ: 0.912
layer: 2 ,  σₐ: 0.33725, σᵦ: 0.66086, ℍᶩᐨᑊ: 0.912, ℍᶩ: 0.935
layer: 3 ,  σₐ: 0.66086, σᵦ: 20.03527, ℍᶩᐨᑊ: 0.935, ℍᶩ: 0.947
layer: 4 ,  σₐ: 20.03527, σᵦ: 24.91225, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 5 ,  σₐ: 24.91225, σᵦ: 22.82505, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 6 ,  σₐ: 22.82505, σᵦ: 20.47922, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 7 ,  σₐ: 9.03081, σᵦ: 19.61933, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 8 ,  σₐ: 5.06776, σᵦ: 19.62114, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 9 ,  σₐ: 5.06811, σᵦ: 19.63756, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 10 ,  σₐ: 5.07127, σᵦ: 19.63877, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 11 ,  σₐ: 5.07150, σᵦ: 19.64461, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 12 ,  σₐ: 5.07262, σᵦ: 19.68036, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 13 ,  σₐ: 5.07948, σᵦ: 19.74757, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 14 ,  σₐ: 5.09237, σᵦ: 19.85165, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 15 ,  σₐ: 5.11232, σᵦ: 20.07741, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 16 ,  σₐ: 5.90627, σᵦ: 20.10721, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 17 ,  σₐ: 5.91302, σᵦ: 20.15357, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 18 ,  σₐ: 5.92350, σᵦ: 20.25466, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 19 ,  σₐ: 5.94634, σᵦ: 20.45021, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 20 ,  σₐ: 5.99046, σᵦ: 20.82963, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
layer: 21 ,  σₐ: 6.96714, σᵦ: 21.11710, ℍᶩᐨᑊ: 0.947, ℍᶩ: 0.947
run:8, σ: 0.34, L: 21, TrainAcc: 0.99, TestAcc: 0.88, Time: 14.15, Ҥ1: 0.95, Ҥ2:0.61, mse : 100.90, ce : 0.06, csr : 0.04, T : 0.03
