0.90423,0.88956,0.86879,0.85857,0.84691,0.82370,0.79482,0.77899,0.75133,0.71063,0.64868,0.59550,0.53441,0.48296,0.40176,0.33460,0.23854,0.15623,0.11294,0.15114
0.91631,0.90182,0.88733,0.87826,0.85543,0.84788,0.82571,0.79716,0.76563,0.72409,0.67861,0.62057,0.55396,0.46930,0.37793,0.27770,0.17434,0.08292,0.12400,0.16871
0.98525,0.97905,0.97183,0.97093,0.96784,0.96462,0.95020,0.95030,0.94453,0.92884,0.90305,0.88706,0.85212,0.81927,0.76036,0.67689,0.57919,0.45741,0.32532,0.16246
0.96353,0.95391,0.94397,0.94015,0.93083,0.92551,0.90916,0.90033,0.88455,0.86103,0.82692,0.79404,0.74990,0.70096,0.62832,0.55705,0.48461,0.42346,0.29623,0.17147
0.93702,0.92623,0.91610,0.90937,0.90313,0.89133,0.86417,0.85040,0.82229,0.80771,0.76694,0.72364,0.67814,0.63072,0.55616,0.49922,0.43299,0.36656,0.24491,0.15563
0.98193,0.97668,0.96857,0.96766,0.96617,0.96043,0.94413,0.94294,0.94057,0.92048,0.89288,0.87928,0.83914,0.80333,0.74168,0.63479,0.49325,0.30673,0.15645,0.16473
0.96615,0.95700,0.94709,0.94361,0.93581,0.92984,0.91343,0.90661,0.89250,0.87006,0.83599,0.80584,0.76342,0.71933,0.65166,0.58646,0.52726,0.48848,0.32316,0.15077
0.95227,0.94500,0.93250,0.92870,0.92350,0.91098,0.88995,0.87577,0.86799,0.83195,0.79448,0.76795,0.71276,0.65967,0.58976,0.49659,0.41843,0.34510,0.25297,0.16598
0.96129,0.95305,0.94572,0.94194,0.93851,0.93144,0.90934,0.90106,0.88150,0.87136,0.84065,0.81030,0.77240,0.73192,0.66552,0.59998,0.53032,0.47431,0.27995,0.14416
0.97735,0.97005,0.96149,0.95954,0.95503,0.95003,0.93446,0.93235,0.92357,0.90494,0.87486,0.85344,0.81524,0.77928,0.71911,0.64712,0.57661,0.50118,0.35271,0.13511
0.95900,0.94928,0.93776,0.93344,0.92601,0.91692,0.89867,0.89153,0.87641,0.85150,0.81270,0.78029,0.73567,0.69327,0.62781,0.56984,0.52016,0.47609,0.35557,0.15763
0.96538,0.95686,0.94930,0.94635,0.93371,0.93397,0.91665,0.90609,0.88767,0.86453,0.83664,0.80043,0.75510,0.69011,0.60584,0.49642,0.34085,0.17661,0.11516,0.15544
0.98722,0.98138,0.97444,0.97383,0.97130,0.96834,0.95410,0.95485,0.95014,0.93508,0.91030,0.89607,0.86183,0.83003,0.77159,0.68351,0.57436,0.43116,0.28937,0.17820
0.98128,0.97522,0.97047,0.96927,0.96626,0.96527,0.94759,0.94507,0.93272,0.92519,0.90466,0.88432,0.85526,0.82027,0.76165,0.68129,0.57607,0.43029,0.16667,0.15237
0.96079,0.95310,0.94112,0.93762,0.93320,0.92203,0.90158,0.89655,0.88737,0.85985,0.81939,0.79256,0.74304,0.70015,0.63408,0.53790,0.41648,0.23651,0.14058,0.16404
0.95675,0.94898,0.93868,0.93510,0.93223,0.92000,0.90001,0.88576,0.87247,0.84812,0.81530,0.78939,0.73895,0.68530,0.60450,0.50160,0.40347,0.26395,0.15229,0.14503
0.97152,0.96294,0.95449,0.95175,0.94320,0.94028,0.92510,0.91819,0.90453,0.88386,0.85403,0.82509,0.78350,0.73543,0.66263,0.58131,0.48820,0.40201,0.29463,0.14662
0.99119,0.98694,0.98087,0.98113,0.98119,0.97804,0.96370,0.96375,0.96358,0.94845,0.92814,0.92087,0.88652,0.85436,0.79409,0.67967,0.52263,0.33199,0.18429,0.15551
0.94838,0.93917,0.93080,0.92587,0.91590,0.91081,0.88624,0.87543,0.85065,0.83215,0.79949,0.75708,0.71814,0.66559,0.60274,0.54039,0.47782,0.39705,0.24999,0.14517
0.96391,0.95739,0.94726,0.94463,0.94163,0.93146,0.91266,0.90131,0.89420,0.86606,0.83507,0.81401,0.76494,0.71620,0.64686,0.55100,0.47028,0.37774,0.24434,0.14608
0.96146,0.95332,0.94612,0.94297,0.93082,0.93066,0.91050,0.90080,0.88029,0.85880,0.83153,0.79311,0.75257,0.68974,0.61418,0.51673,0.39198,0.28370,0.24368,0.15517
0.93932,0.93052,0.91676,0.91159,0.90521,0.88952,0.86730,0.84718,0.83366,0.79555,0.75573,0.72359,0.66449,0.60453,0.52693,0.43398,0.36966,0.28386,0.24031,0.15380
