layer: 1 ,  σₐ: 0.10000, σᵦ: 0.08476, ℍᶩᐨᑊ: 0.100, ℍᶩ: 0.540
layer: 2 ,  σₐ: 0.08476, σᵦ: 0.34229, ℍᶩᐨᑊ: 0.540, ℍᶩ: 0.654
layer: 3 ,  σₐ: 0.34229, σᵦ: 0.33491, ℍᶩᐨᑊ: 0.654, ℍᶩ: 0.770
layer: 4 ,  σₐ: 0.33491, σᵦ: 0.35096, ℍᶩᐨᑊ: 0.770, ℍᶩ: 0.785
layer: 5 ,  σₐ: 0.35096, σᵦ: 0.27263, ℍᶩᐨᑊ: 0.785, ℍᶩ: 0.790
layer: 6 ,  σₐ: 0.27263, σᵦ: 0.32672, ℍᶩᐨᑊ: 0.790, ℍᶩ: 0.797
layer: 7 ,  σₐ: 0.32672, σᵦ: 0.34800, ℍᶩᐨᑊ: 0.797, ℍᶩ: 0.801
layer: 8 ,  σₐ: 0.34800, σᵦ: 0.34819, ℍᶩᐨᑊ: 0.801, ℍᶩ: 0.803
layer: 9 ,  σₐ: 0.34819, σᵦ: 0.35092, ℍᶩᐨᑊ: 0.803, ℍᶩ: 0.806
layer: 10 ,  σₐ: 0.35092, σᵦ: 0.36114, ℍᶩᐨᑊ: 0.806, ℍᶩ: 0.809
layer: 11 ,  σₐ: 0.36114, σᵦ: 0.37005, ℍᶩᐨᑊ: 0.809, ℍᶩ: 0.813
layer: 12 ,  σₐ: 0.37005, σᵦ: 0.37710, ℍᶩᐨᑊ: 0.813, ℍᶩ: 0.815
layer: 13 ,  σₐ: 0.37710, σᵦ: 0.38206, ℍᶩᐨᑊ: 0.815, ℍᶩ: 0.818
layer: 14 ,  σₐ: 0.38206, σᵦ: 0.38587, ℍᶩᐨᑊ: 0.818, ℍᶩ: 0.821
layer: 15 ,  σₐ: 0.38587, σᵦ: 0.38909, ℍᶩᐨᑊ: 0.821, ℍᶩ: 0.824
layer: 16 ,  σₐ: 0.38909, σᵦ: 0.39183, ℍᶩᐨᑊ: 0.824, ℍᶩ: 0.828
layer: 17 ,  σₐ: 0.39183, σᵦ: 0.39401, ℍᶩᐨᑊ: 0.828, ℍᶩ: 0.831
layer: 18 ,  σₐ: 0.39401, σᵦ: 0.39535, ℍᶩᐨᑊ: 0.831, ℍᶩ: 0.835
layer: 19 ,  σₐ: 0.39535, σᵦ: 0.39532, ℍᶩᐨᑊ: 0.835, ℍᶩ: 0.839
layer: 20 ,  σₐ: 0.39532, σᵦ: 0.39298, ℍᶩᐨᑊ: 0.839, ℍᶩ: 0.842
layer: 21 ,  σₐ: 0.39298, σᵦ: 0.38686, ℍᶩᐨᑊ: 0.842, ℍᶩ: 0.844
run:4, σ: 0.08, L: 21, TrainAcc: 0.96, TestAcc: 0.38, Time: 0.54, Ҥ1: 0.84, Ҥ2:0.32, mse : 0.05, ce : 0.17, csr : 0.09, T : 0.11
